path,total_conversions,total_null,total_conversion_value
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Organic Search > Referral > Direct > Referral > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Paid Search,0.0,1.0,0
Direct > Direct > Direct > Referral,0.0,11.0,0
Direct > Direct > Direct > Referral > Direct,0.0,5.0,0
Direct > Direct > Direct > Referral > Direct > Direct,0.0,2.0,0
Direct > Direct > Direct > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Referral > Direct > Paid Search,0.0,1.0,0
Direct > Direct > Direct > Referral > Organic Search,0.0,1.0,0
Direct > Direct > Direct > Referral > Organic Search > Referral,0.0,1.0,0
Direct > Direct > Direct > Referral > Organic Search > Referral > Organic Search,0.0,1.0,0
Direct > Direct > Direct > Referral > Organic Search > Referral > Organic Search > Direct,0.0,1.0,0
Direct > Direct > Direct > Referral > Organic Search > Referral > Organic Search > Direct > Direct,0.0,1.0,0
Direct > Direct > Direct > Social,0.0,1.0,0
Direct > Direct > Display,0.0,6.0,0
Direct > Direct > Display > Direct,0.0,1.0,0
Direct > Direct > Organic Search,0.0,24.0,0
Direct > Direct > Organic Search > Direct,0.0,8.0,0
Direct > Direct > Organic Search > Direct > Direct,0.0,2.0,0
Direct > Direct > Organic Search > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Organic Search > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Organic Search > Direct > Display,0.0,1.0,0
Direct > Direct > Organic Search > Direct > Display > Direct,0.0,1.0,0
Direct > Direct > Organic Search > Organic Search,0.0,1.0,0
Direct > Direct > Organic Search > Organic Search > Organic Search,0.0,1.0,0
Direct > Direct > Organic Search > Organic Search > Organic Search > Organic Search,0.0,1.0,0
Direct > Direct > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,0.0,1.0,0
Direct > Direct > Paid Search,0.0,7.0,0
Direct > Direct > Paid Search > Paid Search,0.0,2.0,0
Direct > Direct > Referral,4.0,38.0,0
Direct > Direct > Referral > Direct,0.0,8.0,0
Direct > Direct > Referral > Direct > Direct,0.0,4.0,0
Direct > Direct > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Referral > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Referral > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Direct > Referral > Organic Search,0.0,3.0,0
Direct > Direct > Referral > Organic Search > Direct,0.0,2.0,0
Direct > Direct > Referral > Organic Search > Direct > Direct,0.0,2.0,0
Direct > Direct > Referral > Organic Search > Direct > Direct > Referral,0.0,1.0,0
Direct > Direct > Referral > Referral,0.0,1.0,0
Direct > Direct > Referral > Social,0.0,1.0,0
Direct > Direct > Social,0.0,1.0,0
Direct > Display,0.0,22.0,0
Direct > Display > Direct,0.0,2.0,0
Direct > Display > Direct > Direct,0.0,2.0,0
Direct > Display > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Direct > Direct > Direct > Direct,1.0,0.0,0
Direct > Display > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Display > Display,0.0,2.0,0
Direct > Display > Display > Display,0.0,1.0,0
Direct > Display > Organic Search,1.0,0.0,0
Direct > Display > Referral,0.0,1.0,0
Direct > Organic Search,4.0,278.0,0
Direct > Organic Search > Affiliates,0.0,2.0,0
Direct > Organic Search > Direct,1.0,40.0,0
Direct > Organic Search > Direct > Direct,0.0,12.0,0
Direct > Organic Search > Direct > Direct > Direct,0.0,4.0,0
Direct > Organic Search > Direct > Direct > Direct > Direct,0.0,2.0,0
Direct > Organic Search > Direct > Direct > Direct > Direct > Direct,0.0,2.0,0
Direct > Organic Search > Direct > Direct > Organic Search,0.0,2.0,0
Direct > Organic Search > Direct > Direct > Organic Search > Organic Search,0.0,1.0,0
Direct > Organic Search > Display,0.0,2.0,0
Direct > Organic Search > Organic Search,0.0,7.0,0
Direct > Organic Search > Paid Search,0.0,1.0,0
Direct > Organic Search > Referral,0.0,8.0,0
Direct > Organic Search > Referral > Direct,0.0,3.0,0
Direct > Organic Search > Referral > Direct > Direct,0.0,2.0,0
Direct > Organic Search > Referral > Direct > Direct > Direct,0.0,1.0,0
Direct > Organic Search > Referral > Direct > Direct > Direct > Organic Search,0.0,1.0,0
Direct > Organic Search > Referral > Direct > Direct > Direct > Organic Search > Direct,0.0,1.0,0
Direct > Organic Search > Social,0.0,1.0,0
Direct > Paid Search,0.0,34.0,0
Direct > Paid Search > Direct,0.0,5.0,0
Direct > Paid Search > Direct > Direct,1.0,1.0,0
Direct > Paid Search > Direct > Direct > Direct,0.0,1.0,0
Direct > Paid Search > Direct > Paid Search,0.0,1.0,0
Direct > Paid Search > Organic Search,0.0,6.0,0
Direct > Paid Search > Paid Search,0.0,1.0,0
Direct > Paid Search > Referral,0.0,2.0,0
Direct > Paid Search > Referral > Direct,0.0,1.0,0
Direct > Paid Search > Referral > Direct > Direct,0.0,1.0,0
Direct > Paid Search > Referral > Organic Search,0.0,1.0,0
Direct > Paid Search > Social,0.0,1.0,0
Direct > Referral,18.0,213.0,0
Direct > Referral > Affiliates,0.0,2.0,0
Direct > Referral > Direct,8.0,48.0,0
Direct > Referral > Direct > Direct,0.0,13.0,0
Direct > Referral > Direct > Direct > Direct,0.0,6.0,0
Direct > Referral > Direct > Direct > Direct > Direct,0.0,4.0,0
Direct > Referral > Direct > Direct > Direct > Direct > Direct,0.0,3.0,0
Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct,0.0,1.0,0
Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct,1.0,0.0,0
Direct > Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,1.0,0.0,0
Direct > Referral > Direct > Organic Search,0.0,3.0,0
Direct > Referral > Direct > Organic Search > Direct,0.0,2.0,0
Direct > Referral > Direct > Organic Search > Direct > Direct,0.0,2.0,0
Direct > Referral > Direct > Organic Search > Direct > Direct > Direct,0.0,1.0,0
Direct > Referral > Direct > Organic Search > Referral,0.0,1.0,0
Direct > Referral > Direct > Organic Search > Referral > Direct,0.0,1.0,0
Direct > Referral > Direct > Social,0.0,1.0,0
Direct > Referral > Direct > Social > Social,0.0,1.0,0
Direct > Referral > Direct > Social > Social > Referral,0.0,1.0,0
Direct > Referral > Direct > Social > Social > Referral > Social,0.0,1.0,0
Direct > Referral > Organic Search,1.0,10.0,0
Direct > Referral > Organic Search > Direct,0.0,1.0,0
Direct > Referral > Organic Search > Direct > Referral,0.0,1.0,0
Direct > Referral > Organic Search > Direct > Referral > Organic Search,0.0,1.0,0
Direct > Referral > Organic Search > Direct > Referral > Organic Search > Direct,0.0,1.0,0
Direct > Referral > Organic Search > Direct > Referral > Organic Search > Direct > Direct,0.0,1.0,0
Direct > Referral > Organic Search > Organic Search,0.0,1.0,0
Direct > Referral > Referral,0.0,4.0,0
Direct > Referral > Referral > Direct,0.0,1.0,0
Direct > Referral > Referral > Direct > Referral,1.0,0.0,0
Direct > Referral > Referral > Direct > Referral > Direct,0.0,1.0,0
Direct > Referral > Referral > Direct > Referral > Direct > Direct,0.0,1.0,0
Direct > Referral > Social,0.0,1.0,0
Direct > Social,4.0,42.0,0
Direct > Social > Direct,0.0,6.0,0
